City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,shingu,33.7333,135.9833,63.43,67.0,1.0,3.83,JP,1717451222.0
160,kokopo,-4.352,152.2633,81.1,78.0,65.0,1.99,PG,1717451222.0
161,tolanaro,-25.0319,46.9987,69.87,94.0,75.0,13.8,MG,1717451223.0
162,tongliao,43.6125,122.2653,69.17,48.0,17.0,6.62,CN,1717451224.0
163,vingt cinq,,,,,,,,
164,weno,7.4515,151.8468,84.15,84.0,75.0,9.22,FM,1717451225.0
165,amuntai,-2.4177,115.2494,74.44,100.0,100.0,0.85,ID,1717451225.0
166,anibare,,,,,,,,
167,lebedyn,50.5852,34.4849,60.94,88.0,47.0,5.77,UA,1717451227.0
168,st. john's,47.5649,-52.7093,50.27,98.0,100.0,4.0,CA,1717451017.0
169,portland,45.5234,-122.6762,64.81,61.0,75.0,10.36,US,1717450930.0
170,vila franca do campo,37.7167,-25.4333,66.61,99.0,18.0,4.29,PT,1717451229.0
171,daru,-9.0763,143.2092,80.01,80.0,40.0,9.15,PG,1717451229.0
172,hithadhoo,-0.6,73.0833,83.5,73.0,91.0,8.61,MV,1717451230.0
173,raja,8.4596,25.678,81.95,49.0,29.0,4.18,SS,1717451230.0
174,laur,15.5,121.15,77.47,94.0,98.0,0.09,PH,1717451231.0
175,shelton,41.3165,-73.0932,88.07,47.0,0.0,4.61,US,1717450851.0
176,nova sintra,14.8667,-24.7167,75.81,77.0,100.0,21.97,CV,1717451232.0
177,delmar,42.622,-73.8326,88.05,32.0,20.0,3.44,US,1717450992.0
178,ahau,,,,,,,,
179,dingli,35.8614,14.3822,69.96,68.0,0.0,6.91,MT,1717451234.0
180,vilyuchinsk,52.9306,158.4028,55.67,63.0,66.0,4.32,RU,1717451008.0
181,daund,18.4667,74.6,82.31,68.0,41.0,13.02,IN,1717451235.0
182,talnakh,69.4865,88.3972,19.2,94.0,97.0,1.5,RU,1717451236.0
183,ribeira grande,38.5167,-28.7,66.6,82.0,20.0,4.61,PT,1717451236.0
184,domoni,-12.2569,44.5319,77.68,85.0,87.0,1.9,KM,1717451237.0
185,ponta delgada,37.7333,-25.6667,66.92,82.0,20.0,12.66,PT,1717451238.0
186,barra,-11.0894,-43.1417,81.72,45.0,61.0,3.51,BR,1717451238.0
187,turi,40.9173,17.0212,67.44,89.0,40.0,9.22,IT,1717451239.0
188,sitia,35.2,26.0986,76.98,52.0,17.0,0.51,GR,1717451239.0
189,torbat-e heydariyeh,35.274,59.2195,68.72,33.0,0.0,13.67,IR,1717451240.0
190,belyy yar,53.6039,91.3903,42.69,100.0,42.0,2.24,RU,1717451241.0
191,huarmey,-10.0681,-78.1522,68.79,74.0,1.0,7.72,PE,1717451241.0
192,celestun,20.8667,-90.4,87.85,64.0,62.0,15.19,MX,1717451242.0
193,invercargill,-46.4,168.35,41.29,71.0,75.0,2.51,NZ,1717451242.0
